,x,MDC (no IS),MDC (no IS) err,Log Normal 35/35,Log Normal 35/35 err,Log Normal 35/20,Log Normal 35/20 err,Log Normal 20/20,Log Normal 20/20 err,Log Normal 20/10,Log Normal 20/10 err
0,0.45510923323926805,651.748673330106,1.8456601461222704,1317.6112594835263,38.97613513193676,1028.3403775687495,41.718353288121136,857.1388320988337,20.356834032036318,559.0069865178251,22.662705126815467
1,0.9102184664785361,676.0381291213503,1.8117664421799304,1361.8502033587597,38.62894446494329,1079.9411351891504,40.47353729289307,881.4136867222229,20.00750359725629,582.164768969018,22.498146678058163
2,1.365327699717804,686.058702979885,1.7982995723767203,1392.8959863025066,38.06106839476752,1108.5116169512962,39.70064948752304,892.2170764158707,19.86981559556068,597.7586583572522,22.263131558164048
3,1.8204369329570722,692.0309775507307,1.7904095528058406,1409.157868865515,37.78951074357883,1115.601775526019,39.2902963463722,897.7075034263014,19.765640345006318,614.4191147970408,22.454803704520486
4,2.27554616619634,695.1587965559144,1.7863170233360393,1418.9884563028074,37.671579174480485,1123.0569085443892,39.21231914928342,903.387382742035,19.723681253216853,615.7790460660697,22.376610377982615
5,2.730655399435608,699.6686553824807,1.7804633924887412,1423.6389583398043,37.47817339628159,1133.4611002556749,39.2825587485022,907.5475750383645,19.635575362657164,619.9568221219549,22.197152092817248
6,3.1857646326748763,699.900817621944,1.7801635486630403,1429.5050020074516,37.53293920282067,1133.4630882446834,39.28241621730581,907.547575038405,19.63557536265546,619.9569328162229,22.197144074479127
7,3.6408738659141444,702.9185476818576,1.7762792549398227,1441.447558811539,37.38094681802511,1140.775925072614,39.01196483136073,908.151692317174,19.611933122225878,623.5857115221967,22.05547728728027
8,4.095983099153412,707.2634737439727,1.7707292720800183,1450.7343820944238,37.25608699855957,1141.931047319329,38.9370378259905,916.4779826485641,19.5219165552366,626.0449224902246,21.953470835233702
9,4.55109233239268,707.4238691398206,1.7705253454326453,1450.7343820972808,37.25608699840393,1141.935050806397,38.936755324339515,917.5109520620632,19.50394459855835,626.0449226379118,21.95347082475689
10,5.006201565631948,707.6376165922326,1.7702536919915701,1450.734417805808,37.256085054345476,1141.9351210889931,38.93675036307445,919.5020163003843,19.513520272963547,626.0450411547888,21.95346241755493
11,5.461310798871216,711.3310459413563,1.7655785352351359,1455.9389878881505,37.09596822579965,1150.920632860132,39.12099286131513,927.6935917400754,19.517749990259176,628.7857685838818,21.88799565761093
12,5.9164200321104845,711.6877221063945,1.7651289309421259,1455.9397389326778,37.095927644491894,1150.9206362502625,39.120992622565154,928.261398476297,19.50087707945795,628.7858879627416,21.887987251496043
13,6.371529265349753,714.6985927676448,1.7613466795446016,1461.4378098304428,36.88193147338643,1153.4747384192003,38.987192462020175,930.3216377368403,19.439849695661735,631.994229993922,21.75894581954509
14,6.826638498589021,714.790229184976,1.7612319309618556,1461.714223672725,36.86807673226349,1153.4747384192003,38.987192462020175,930.3216377368409,19.439849695661678,631.994231510117,21.75894571395122
15,7.281747731828289,714.8425823046905,1.7611663831912097,1461.714223672725,36.86807673226349,1153.4747384192003,38.987192462020175,930.3216377368409,19.439849695661678,631.9942315160118,21.75894571354064
16,7.736856965067557,717.6843066519181,1.757618934542677,1466.8806932724751,36.77861677190697,1161.842318259546,38.785893276772185,932.4870852004436,19.403552791095876,632.5585914576566,21.724229756019042
17,8.191966198306824,719.0191626219748,1.7559596448396633,1474.5765427693652,36.80641172745277,1161.8487765950374,38.78544651164145,934.9443431250774,19.370537308690473,637.1426701562228,21.87519146604194
18,8.647075431546092,722.0847752863541,1.7521659020019342,1482.16375121288,36.79052846767661,1164.349605028267,38.65440193065058,943.5966019562317,19.312856881860796,640.6158204405152,21.818656882402195
19,9.10218466478536,723.1605656238996,1.7508401601978676,1482.3970476448483,36.77881932180526,1167.193193687979,38.52856239170069,944.0368024310911,19.299351819365427,643.6663267916828,21.720851762428595
20,9.557293898024628,725.3534427900256,1.7481466724444203,1482.9386123530207,36.753823974584634,1168.9855973660444,38.44569579783649,945.6878112372758,19.29290426865481,648.2942351164066,21.894912025007272
21,10.012403131263897,732.003579625833,1.7400504553794462,1498.0112548514328,36.54048063984146,1187.8140296963506,38.07063064606041,950.5908724231932,19.229514966806107,657.1845224118598,21.717094298268933
22,10.467512364503165,732.1782702453581,1.7398392240232852,1498.0112548514328,36.54048063984146,1188.1328441034748,38.050697390480536,950.5908724238234,19.229514966780073,659.4916464946385,21.685344647796512
23,10.922621597742433,734.0447468392034,1.737586903136389,1498.9554815178587,36.495778143971506,1188.1358323395966,38.05049869440688,953.4771458521295,19.236883570922544,659.5859240765967,21.67915221986067
24,11.377730830981701,734.3673057540581,1.7371985091918987,1503.16554785334,36.48770117724462,1190.417758655788,37.96459100625259,953.569826558945,19.23328670730558,659.5859241755301,21.679152213281554
25,11.832840064220969,734.7515252715643,1.7367361937508008,1503.1665494846789,36.487649319901266,1193.0800908926315,37.835580421732516,954.8703741008624,19.222780435646825,660.9152349069254,21.625844372004792
26,12.287949297460237,735.246699397673,1.736140890333786,1503.3568025223235,36.47824402938079,1193.0808054018003,37.8355333576784,955.430096498109,19.203774191409536,665.3166016103943,21.715106803066476
27,12.743058530699505,735.8400293162468,1.7354283516281725,1507.7951869975007,36.48252567094016,1195.0255834027573,37.75548968657927,957.5347432564464,19.206546111661112,665.3208894266262,21.714823776662456
28,13.198167763938773,735.8400293162468,1.7354283516281725,1507.7951869975007,36.48252567094016,1195.0255834027573,37.75548968657927,957.5347432564464,19.206546111661112,665.3208894266262,21.714823776662456
