far,end_o3,end_o3_err,ln_35_35,ln_35_35_err,ln_35_20,ln_35_20_err,ln_20_20,ln_20_20_err,ln_20_10,ln_20_10_err
279.45033423173,799.510304276974,1.4470453827738083,1693.032601820774,30.05613382200272,1342.3512327406206,30.712602394743726,1049.6473486690852,15.480870747926929,732.2530827306123,18.39149781791491
279.7764139682897,799.510304276974,1.4470453827738083,1693.032601820774,30.05613382200272,1342.3512327406206,30.712602394743726,1049.6473486690852,15.480870747926929,732.2530827306123,18.39149781791491
280.1024937048495,799.5815491806017,1.446979443268674,1693.032601820774,30.05613382200272,1342.3513623854988,30.71259616287307,1049.8511249737378,15.47587098181134,732.2541463671166,18.391443961294954
280.4285734414093,799.6052946606494,1.446957467929792,1693.032738646941,30.056128487664182,1342.3513623854988,30.71259616287307,1049.8511249737378,15.47587098181134,732.2541463671166,18.391443961294954
280.7546531779691,799.6052946606494,1.446957467929792,1693.032738646941,30.056128487664182,1342.3513623854988,30.71259616287307,1049.8511249737378,15.47587098181134,732.2541463671166,18.391443961294954
281.0807329145288,799.6052946606494,1.446957467929792,1693.032738646941,30.056128487664182,1342.3513623854988,30.71259616287307,1049.8511249737378,15.47587098181134,732.2541463671166,18.391443961294954
281.4068126510886,799.6369531070558,1.446928170973706,1693.032738646941,30.056128487664182,1342.3513973636375,30.712594481467022,1049.8511249737378,15.47587098181134,732.2541463671166,18.391443961294954
281.7328923876484,799.6448673269845,1.446920847358797,1693.032738646941,30.056128487664182,1342.3513973963227,30.71259447989587,1049.8511249737378,15.47587098181134,732.2541463671166,18.391443961294954
282.0589721242082,799.6606952968888,1.4469062008779474,1693.0327386469407,30.056128487664182,1342.3513973963227,30.71259447989587,1049.8511249737378,15.47587098181134,732.2541463671166,18.391443961294954
282.385051860768,799.7081754475346,1.4468622674248763,1693.0327386469407,30.056128487664182,1342.3513973963227,30.71259447989587,1049.8511249737605,15.475870981810658,732.2541643741256,18.391443049016516
282.7111315973277,799.7398257493624,1.4468329834462565,1693.0824870603776,30.054224244342322,1342.3513973963227,30.71259447989587,1049.9937220339762,15.472198854665294,732.2541643763121,18.39144304890567
283.0372113338875,799.7556499608813,1.4468183429536339,1693.0824870603776,30.054224244342322,1342.3513973963227,30.71259447989587,1049.9937220339762,15.472198854665294,732.2541643763218,18.391443048905217
283.3632910704473,799.7635618318193,1.446811023081409,1693.0824870603776,30.054224244342322,1342.3513973965687,30.712594479884046,1049.9937220339762,15.472198854665294,732.2541643763218,18.391443048905217
283.6893708070071,799.7872965054393,1.4467890649610808,1693.082487061155,30.054224244311854,1342.3513973965687,30.712594479884046,1049.9937242741921,15.47219878701867,732.2541643861191,18.39144304840886
284.0154505435668,799.8110297704317,1.4467671090847034,1693.082487061155,30.054224244311854,1342.3513973965687,30.712594479884046,1049.9937242741921,15.47219878701867,732.2541643861192,18.39144304840886
284.3415302801266,799.834761627005,1.446745155451822,1693.082487061155,30.054224244311854,1342.3513973965687,30.712594479884046,1049.9937242741921,15.47219878701867,732.2541643861191,18.39144304840886
284.6676100166864,799.8743115920422,1.4467085710483616,1693.0824870895133,30.054224243206363,1342.3513974071836,30.71259447937382,1049.993802347587,15.47219642966752,732.2541644681435,18.391443044253265
284.9936897532462,799.8980396938535,1.446686623396431,1693.0825681644958,30.054221082604727,1342.3513974071836,30.71259447937382,1049.993802347587,15.47219642966752,732.2541646942865,18.391443032796246
285.31976948980594,799.8980396938535,1.446686623396431,1693.0825681644958,30.054221082604727,1342.3513974071836,30.71259447937382,1049.993802347587,15.47219642966752,732.2541646942865,18.391443032796246
285.6458492263657,799.921766388012,1.446664677986405,1693.0825681644958,30.054221082604727,1342.3513974071836,30.71259447937382,1049.9938024887135,15.472196425406082,732.2543981653596,18.391431205947356
285.9719289629255,799.9771232013483,1.446613480746123,1693.0825681644958,30.054221082604727,1342.3852664616306,30.710983771700512,1050.1607960499343,15.467949336378297,732.2543984206612,18.391431193012977
286.2980086994853,799.985030692163,1.4466061678506321,1693.0825681644958,30.054221082604727,1342.3852664616306,30.710983771700512,1050.1607960499343,15.467949336378297,732.2543984206612,18.391431193012977
286.6240884360451,800.0008452048376,1.4465915428063454,1693.0825681644958,30.054221082604727,1342.3852664616306,30.710983771700512,1050.1607960499343,15.467949336378297,732.2543984206612,18.391431193012977
286.95016817260483,800.0087522267129,1.4465842306575496,1693.0825681644958,30.054221082604727,1342.3852664616306,30.710983771700512,1050.1607960499393,15.46794933637807,732.2543984206612,18.391431193012977
287.2762479091646,800.0324723545835,1.4465622957044388,1693.0825681644958,30.054221082604727,1342.4686623964176,30.70708068005797,1050.1607960499393,15.46794933637807,732.2543984206612,18.391431193012977
287.6023276457244,800.0403787513145,1.4465549845511987,1693.0825681644958,30.054221082604727,1342.4686623964176,30.70708068005797,1050.1607968734609,15.467949311521352,732.2543984228258,18.391431192903383
287.9284073822842,800.0403787513145,1.4465549845511987,1693.0825681644958,30.054221082604727,1342.4686623964176,30.70708068005797,1050.1607968734609,15.467949311521352,732.2543984228258,18.391431192903383
288.25448711884394,800.0640970039373,1.4465330525840727,1693.0825681644958,30.054221082604727,1345.3089426572947,30.692708146986206,1050.1607968734609,15.467949311521352,732.2543984228258,18.391431192903383
288.58056685540373,800.0799083911214,1.446518432516541,1693.0825681644958,30.054221082604727,1345.3089426572947,30.692708146986206,1050.161630145966,15.467924181963554,732.2543984228258,18.391431192903383
288.9066465919635,800.0878138503674,1.446511122856009,1693.0825681644958,30.054221082604727,1345.3089426572947,30.692708146986206,1050.161630145966,15.467924181963554,732.2543984228258,18.391431192903383
289.2327263285233,800.1747635932185,1.4464307330017618,1693.0825681644958,30.054221082604727,1346.8552045255044,30.65283844597934,1050.5494162160658,15.46091977782271,732.2628698145987,18.391003943968485
289.5588060650831,800.2142799575635,1.446394202102283,1693.0825681644958,30.054221082604727,1346.8552045255044,30.65283844597934,1050.5494162160658,15.46091977782271,732.2628698145987,18.391003943968485
289.88488580164284,800.2221827621104,1.446386896667832,1693.0825681644958,30.054221082604727,1346.8552045255046,30.65283844597934,1050.5494162160658,15.46091977782271,732.2628698145987,18.391003943968485
290.21096553820263,800.2695963117851,1.4463430692783277,1693.0831634659285,30.054197878167543,1346.8552045255044,30.65283844597934,1050.651001132105,15.458178754498476,732.2628698148135,18.39100394395757
